7,german,gt,1,5,0.727,1.000,0.934,0.060,0.045,850,294891,0.969,2.189,1,1,1.999,0.927,0.976,0.410,0.508,1007,93397,0.990,6.635,1,2,0.582,0.933,1.000,0.150,0.208,3900,8790603,0.666,0.500,1,8,0.128,16.513,EXPLAN Rule -> ,{'credit_amount': '<=1185', 'account_check_status': '0 <= ... < 200 DM', 'duration_in_month': '<=25', 'age': '<=44', 'purpose': 'domestic appliances'},LORE Rule ->,{'duration_in_month': '<=15'},Anchor Rule ->,{'duration_in_month': '<=12.00', 'purpose': 'domestic appliances'}
8,german,gt,1,2,0.566,1.000,0.974,0.060,0.522,914,856402,0.997,1.098,1,3,1.828,0.826,0.997,0.460,0.534,987,940960,0.959,6.762,1,2,0.529,1.000,1.000,0.330,0.368,3215,6254534,0.684,0.454,1,8,0.253,16.498,EXPLAN Rule -> ,{'credit_amount': '3275.0< credit_amount <=3676.0'},LORE Rule ->,{'other_installment_plans': 'none', 'credit_amount': '<=8038', 'credit_history': 'existing credits paid back duly till now'},Anchor Rule ->,{'account_check_status': 'no checking account', 'other_installment_plans': 'none'}
9,german,gt,1,5,0.609,1.000,0.906,0.030,0.087,724,1336214,0.996,2.034,1,3,2.242,1.000,0.994,0.080,0.495,1047,113989,0.979,6.784,1,2,0.614,1.000,1.000,0.330,0.542,1900,11181685,0.623,0.364,1,10,0.351,16.430,EXPLAN Rule -> ,{'credit_amount': '8133.0< credit_amount <=11560.0', 'account_check_status': 'no checking account', 'other_installment_plans': 'none'},LORE Rule ->,{'account_check_status': 'no checking account', 'other_installment_plans': 'none', 'purpose': 'car (used)'},Anchor Rule ->,{'account_check_status': 'no checking account', 'other_installment_plans': 'none'}
10,german,gt,1,4,0.680,1.000,0.898,0.010,0.007,546,188545,1.000,1.607,1,2,1.741,0.963,0.992,0.270,0.508,1045,178965,0.981,6.698,1,2,0.566,0.933,1.000,0.150,0.179,6300,14584115,0.679,0.717,1,6,0.052,16.627,EXPLAN Rule -> ,{'credit_amount': '<=806', 'duration_in_month': '<=26', 'other_installment_plans': 'bank', 'other_debtors': 'guarantor'},LORE Rule ->,{'duration_in_month': '<=24', 'purpose': 'domestic appliances'},Anchor Rule ->,{'duration_in_month': '<=12.00', 'purpose': 'domestic appliances'}
11,german,gt,1,6,0.691,1.000,0.946,0.010,0.019,1054,1341659,0.997,1.286,1,1,2.243,0.684,0.998,0.190,0.485,1043,78749,0.985,6.614,1,8,0.622,1.000,1.000,0.010,0.039,17414,38595573,0.976,1.675,1,10,0.394,16.483,EXPLAN Rule -> ,{'credit_amount': '2924.0< credit_amount <=4308.0', 'duration_in_month': '>30', 'account_check_status': '< 0 DM', 'foreign_worker': 'yes', 'savings': '... < 100 DM'},LORE Rule ->,{'duration_in_month': '>35'},Anchor Rule ->,{'duration_in_month': '>24.00', 'account_check_status': '< 0 DM', 'age': '<=42.00', 'installment_as_income_perc': '4', 'savings': '... < 100 DM', 'credit_history': 'existing credits paid back duly till now', 'other_installment_plans': 'none', 'property': 'if not A121/A122 : car or other, not in attribute 6'}
12,german,gt,1,3,0.939,1.000,0.968,0.020,0.304,628,142052,0.998,1.600,1,2,1.706,0.967,0.990,0.300,0.492,1002,88061,0.984,6.788,1,2,0.595,1.000,1.000,0.120,0.190,900,1630300,0.633,0.314,1,10,0.144,16.385,EXPLAN Rule -> ,{'credit_amount': '1255.0< credit_amount <=1393.0', 'account_check_status': 'no checking account'},LORE Rule ->,{'account_check_status': 'no checking account', 'age': '>25'},Anchor Rule ->,{'account_check_status': 'no checking account', 'purpose': 'domestic appliances'}
13,german,gt,1,4,0.601,1.000,0.931,0.010,0.003,1226,3038748,0.987,1.572,1,2,1.720,0.389,0.989,0.180,0.498,1085,209974,0.991,6.889,1,6,0.612,1.000,1.000,0.010,0.042,14612,66149105,0.978,1.420,1,10,0.412,16.239,EXPLAN Rule -> ,{'credit_amount': '5302.0< credit_amount <=8613.0', 'duration_in_month': '>47', 'other_debtors': 'co-applicant'},LORE Rule ->,{'account_check_status': '< 0 DM', 'installment_as_income_perc': '4'},Anchor Rule ->,{'duration_in_month': '>24.00', 'account_check_status': '< 0 DM', 'installment_as_income_perc': '4', 'purpose': 'business', 'savings': '... < 100 DM', 'property': 'unknown / no property'}
14,german,gt,0,2,0.782,0.714,0.967,0.070,0.527,1304,2663522,0.995,1.012,1,3,1.625,0.857,0.979,0.070,0.488,1068,200873,0.977,6.928,1,6,0.585,1.000,1.000,0.010,0.044,12300,45540953,0.963,1.269,1,10,0.182,16.469,EXPLAN Rule -> ,{'credit_amount': '5493.0< credit_amount <=6361.0'},LORE Rule ->,{'duration_in_month': '>22', 'account_check_status': '0 <= ... < 200 DM', 'installment_as_income_perc': '4'},Anchor Rule ->,{'duration_in_month': '>24.00', 'account_check_status': '0 <= ... < 200 DM', 'purpose': '(vacation - does not exist?)', 'installment_as_income_perc': '4', 'property': 'unknown / no property', 'savings': '... < 100 DM'}
15,german,gt,1,2,0.675,0.600,0.946,0.050,0.547,896,1005936,0.998,1.117,1,3,1.927,0.846,0.995,0.390,0.514,1033,3671661,0.975,6.829,1,3,0.596,1.000,1.000,0.030,0.112,6900,16146230,0.670,0.819,1,10,0.281,16.625,EXPLAN Rule -> ,{'credit_amount': '3660.0< credit_amount <=4370.0'},LORE Rule ->,{'credit_amount': '<=8239', 'age': '>28', 'credits_this_bank': '1'},Anchor Rule ->,{'duration_in_month': '<=24.00', 'purpose': 'radio/television', 'property': 'if not A121/A122 : car or other, not in attribute 6'}
16,german,gt,1,2,0.629,0.857,0.955,0.070,0.539,854,698369,0.995,1.145,1,2,2.121,0.954,0.994,0.650,0.525,1002,125714,0.973,6.702,1,1,0.588,0.972,1.000,0.360,0.570,900,1753730,0.641,0.275,1,9,0.261,16.385,EXPLAN Rule -> ,{'credit_amount': '3229.0< credit_amount <=3676.0'},LORE Rule ->,{'duration_in_month': '<=30', 'other_installment_plans': 'none'},Anchor Rule ->,{'account_check_status': 'no checking account'}
17,german,gt,1,4,0.634,1.000,0.951,0.020,0.270,600,89270,0.985,1.617,1,1,2.194,0.800,0.999,1.000,0.525,1040,165907,0.974,6.607,1,2,0.591,1.000,1.000,0.120,0.195,1300,2508455,0.642,0.304,1,10,0.237,16.523,EXPLAN Rule -> ,{'credit_amount': '1007.0< credit_amount <=1217.0', 'account_check_status': 'no checking account', 'other_installment_plans': 'none'},LORE Rule ->,{'age': '>19'},Anchor Rule ->,{'account_check_status': 'no checking account', 'purpose': 'domestic appliances'}
18,german,gt,1,3,0.629,1.000,0.956,0.080,0.309,794,377742,0.992,1.445,1,2,2.811,0.944,0.990,0.180,0.510,1040,104597,0.992,6.669,1,3,0.569,1.000,1.000,0.080,0.161,3500,5519713,0.671,0.530,1,9,0.334,16.333,EXPLAN Rule -> ,{'credit_amount': '1979.0< credit_amount <=2538.0', 'duration_in_month': '<=20'},LORE Rule ->,{'duration_in_month': '<=22', 'credit_history': 'critical account/ other credits existing (not at this bank)'},Anchor Rule ->,{'duration_in_month': '<=24.00', 'purpose': 'radio/television', 'credit_amount': '<=2333.00'}
19,german,gt,1,2,0.667,1.000,0.963,0.060,0.533,790,776515,0.997,1.154,1,2,1.661,0.910,0.994,0.780,0.513,1015,117945,0.987,6.740,1,3,0.581,1.000,1.000,0.130,0.202,7300,14777700,0.675,0.799,1,10,0.167,16.221,EXPLAN Rule -> ,{'credit_amount': '3235.0< credit_amount <=3711.0'},LORE Rule ->,{'duration_in_month': '4.0< duration_in_month <=30.0'},Anchor Rule ->,{'duration_in_month': '<=18.00', 'credits_this_bank': '2', 'credit_amount': '<=4154.50'}
20,german,gt,1,3,0.810,1.000,0.860,0.020,0.066,1026,2345409,0.963,2.765,1,2,1.870,1.000,0.991,0.120,0.516,980,396425,0.955,6.850,1,2,0.533,1.000,1.000,0.180,0.218,1700,10024516,0.654,0.342,1,9,0.431,16.297,EXPLAN Rule -> ,{'credit_amount': '>7864', 'account_check_status': 'no checking account', 'age': '>31'},LORE Rule ->,{'account_check_status': 'no checking account', 'savings': 'unknown/ no savings account'},Anchor Rule ->,{'account_check_status': 'no checking account', 'credits_this_bank': '2'}
21,german,gt,1,4,0.763,0.875,0.962,0.080,0.440,984,925556,1.000,1.658,1,5,1.652,1.000,0.973,0.010,0.491,1082,202961,0.961,7.097,1,2,0.588,1.000,1.000,0.040,0.071,5100,9629241,0.693,0.628,0,10,0.374,16.523,EXPLAN Rule -> ,{'credit_amount': '3331.0< credit_amount <=4308.0', 'duration_in_month': '7.0< duration_in_month <=35.0'},LORE Rule ->,{'duration_in_month': '<=30', 'personal_status_sex': 'male : single', 'age': '>21', 'credit_amount': '<=3414', 'credit_history': 'delay in paying off in the past'},Anchor Rule ->,{'duration_in_month': '<=24.00', 'credit_history': 'delay in paying off in the past'}
22,german,gt,1,3,0.654,1.000,0.970,0.050,0.439,1058,1920118,0.992,1.319,1,3,3.132,0.933,0.994,0.300,0.607,854,649177,0.881,6.811,1,2,0.585,1.000,1.000,0.120,0.185,1100,3983431,0.636,0.296,1,10,0.324,16.419,EXPLAN Rule -> ,{'credit_amount': '5324.0< credit_amount <=6681.0', 'duration_in_month': '<=33'},LORE Rule ->,{'credit_amount': '<=6070', 'personal_status_sex': 'male : single', 'housing': 'own'},Anchor Rule ->,{'account_check_status': 'no checking account', 'purpose': 'domestic appliances'}
23,german,gt,1,2,0.559,0.963,0.962,0.270,0.311,640,134623,0.983,1.480,1,1,2.321,0.914,0.973,0.810,0.876,1090,148285,0.603,6.673,1,1,0.596,0.972,1.000,0.360,0.641,700,1273331,0.619,0.263,1,7,0.175,17.133,EXPLAN Rule -> ,{'credit_amount': '>1422', 'account_check_status': 'no checking account'},LORE Rule ->,{'duration_in_month': '<=35'},Anchor Rule ->,{'account_check_status': 'no checking account'}
24,german,gt,1,3,0.635,1.000,0.971,0.060,0.364,942,762596,0.999,1.557,1,2,2.060,0.889,0.996,0.090,0.676,692,315180,0.824,6.659,1,2,0.551,1.000,1.000,0.120,0.131,3414,6087862,0.665,0.486,1,10,0.298,16.804,EXPLAN Rule -> ,{'credit_amount': '2404.0< credit_amount <=3275.0', 'duration_in_month': '<=21'},LORE Rule ->,{'duration_in_month': '<=20', 'savings': 'unknown/ no savings account'},Anchor Rule ->,{'account_check_status': 'no checking account', 'purpose': 'domestic appliances'}
25,german,gt,1,3,0.591,1.000,0.944,0.030,0.496,748,207262,0.999,1.260,1,5,2.189,1.000,0.996,0.020,0.246,1005,86234,0.998,6.967,1,2,0.553,1.000,1.000,0.040,0.104,6900,11182138,0.694,0.734,1,9,0.197,16.384,EXPLAN Rule -> ,{'credit_amount': '1659.0< credit_amount <=1898.0', 'duration_in_month': '<=30'},LORE Rule ->,{'age': '>26', 'purpose': 'domestic appliances', 'other_installment_plans': 'stores', 'duration_in_month': '22.0< duration_in_month <=24.0'},Anchor Rule ->,{'purpose': 'domestic appliances', 'people_under_maintenance': '2'}
26,german,gt,1,5,0.679,1.000,0.968,0.010,0.005,738,367537,0.996,1.443,1,2,1.991,1.000,0.989,0.040,0.499,1052,62244,0.982,6.870,1,6,0.614,1.000,1.000,0.010,0.050,13211,21735990,0.989,1.360,1,7,0.281,16.519,EXPLAN Rule -> ,{'credit_amount': '2080.0< credit_amount <=2366.0', 'duration_in_month': '>35', 'account_check_status': '0 <= ... < 200 DM', 'housing': 'rent'},LORE Rule ->,{'duration_in_month': '>31', 'age': '<=25'},Anchor Rule ->,{'duration_in_month': '>24.00', 'age': '<=27.00', 'account_check_status': '0 <= ... < 200 DM', 'savings': '... < 100 DM', 'housing': 'rent', 'present_res_since': '4'}
27,german,gt,1,5,0.818,1.000,0.940,0.010,0.006,672,1159901,0.981,1.439,1,3,2.185,1.000,0.990,0.040,0.478,998,126453,0.996,6.918,1,3,0.586,1.000,1.000,0.080,0.192,5018,18889624,0.696,0.647,0,10,0.017,16.363,EXPLAN Rule -> ,{'credit_amount': '5003.0< credit_amount <=6999.0', 'credit_history': 'no credits taken/ all credits paid back duly', 'housing': 'own', 'present_res_since': '1'},LORE Rule ->,{'age': '>29', 'installment_as_income_perc': '2', 'duration_in_month': '>28'},Anchor Rule ->,{'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'other_installment_plans': 'none', 'housing': 'own'}
28,german,gt,1,4,0.784,1.000,0.949,0.070,0.186,1168,5815610,0.990,2.123,1,2,2.272,1.000,0.995,0.120,0.499,1030,193542,0.978,6.879,1,2,0.619,1.000,1.000,0.180,0.178,2811,20807448,0.681,0.429,1,10,0.411,16.657,EXPLAN Rule -> ,{'credit_amount': '4870.0< credit_amount <=11560.0', 'account_check_status': 'no checking account', 'other_installment_plans': 'none'},LORE Rule ->,{'savings': 'unknown/ no savings account', 'account_check_status': 'no checking account'},Anchor Rule ->,{'account_check_status': 'no checking account', 'credits_this_bank': '2'}
29,german,gt,1,2,0.657,1.000,0.972,0.080,0.262,690,490543,0.999,1.379,1,1,2.402,0.796,0.998,0.980,0.517,1047,105870,0.981,6.666,1,2,0.610,1.000,1.000,0.330,0.569,1100,1838796,0.615,0.288,1,10,0.286,16.486,EXPLAN Rule -> ,{'credit_amount': '>2782', 'duration_in_month': '<=15'},LORE Rule ->,{'age': '>21'},Anchor Rule ->,{'account_check_status': 'no checking account', 'other_installment_plans': 'none'}
30,german,gt,1,4,0.672,1.000,0.923,0.010,0.012,808,200194,0.974,1.987,1,1,2.683,0.932,0.997,0.590,0.520,1037,84209,0.979,6.529,1,2,0.571,0.952,1.000,0.210,0.195,6500,13055982,0.675,0.765,1,7,0.109,16.597,EXPLAN Rule -> ,{'credit_amount': '<=1136', 'age': '<=24', 'account_check_status': '0 <= ... < 200 DM', 'present_emp_since': '... < 1 year'},LORE Rule ->,{'duration_in_month': '<=22'},Anchor Rule ->,{'duration_in_month': '<=18.00', 'purpose': 'domestic appliances'}
31,german,gt,1,3,0.622,1.000,0.970,0.010,0.055,696,234197,0.999,1.201,1,1,2.143,0.800,0.999,1.000,0.502,1035,142039,0.997,6.650,1,2,0.547,1.000,1.000,0.010,0.059,3900,6140808,0.655,0.524,1,10,0.116,16.465,EXPLAN Rule -> ,{'credit_amount': '1808.0< credit_amount <=2012.0', 'account_check_status': '>= 200 DM / salary assignments for at least 1 year'},LORE Rule ->,{'age': '>19'},Anchor Rule ->,{'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'age': '>42.00'}
32,german,gt,1,2,0.694,0.913,0.963,0.460,0.422,528,103747,1.000,1.543,1,4,2.410,0.933,0.988,0.150,0.510,998,446755,0.975,6.944,1,1,0.557,0.972,1.000,0.360,0.622,500,988587,0.640,0.236,1,9,0.217,16.523,EXPLAN Rule -> ,{'credit_amount': '>1478', 'duration_in_month': '<=26'},LORE Rule ->,{'age': '>25', 'credit_amount': '1097.0< credit_amount <=3700.0', 'credit_history': 'critical account/ other credits existing (not at this bank)'},Anchor Rule ->,{'account_check_status': 'no checking account'}
33,german,gt,1,4,0.459,1.000,0.918,0.030,0.031,774,103988,0.969,2.178,1,3,2.458,1.000,0.978,0.140,0.469,1079,509272,0.948,7.233,1,3,0.551,1.000,1.000,0.020,0.031,3900,6589551,0.661,0.502,1,8,0.052,16.515,EXPLAN Rule -> ,{'credit_amount': '1169.0< credit_amount <=1406.0', 'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'other_installment_plans': 'none'},LORE Rule ->,{'duration_in_month': '<=10', 'credit_amount': '<=4284', 'other_installment_plans': 'none'},Anchor Rule ->,{'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'other_installment_plans': 'none', 'personal_status_sex': 'male : divorced/separated'}
34,german,gt,1,2,0.627,0.806,0.971,0.310,0.506,714,538121,0.999,1.386,1,1,2.303,0.800,1.000,1.000,0.514,1041,71674,0.986,6.639,1,1,0.613,0.972,1.000,0.360,0.634,700,1255150,0.597,0.248,1,10,0.471,16.408,EXPLAN Rule -> ,{'credit_amount': '>2924', 'duration_in_month': '<=44'},LORE Rule ->,{'age': '>18'},Anchor Rule ->,{'account_check_status': 'no checking account'}
35,german,gt,1,3,0.764,0.800,0.941,0.100,0.510,840,574288,0.990,1.287,1,2,1.624,1.000,0.992,0.070,0.504,1020,1014258,0.984,7.157,1,2,0.576,1.000,1.000,0.050,0.229,1700,2865265,0.650,0.334,1,9,0.114,16.487,EXPLAN Rule -> ,{'credit_amount': '2397.0< credit_amount <=2930.0', 'duration_in_month': '<=37'},LORE Rule ->,{'purpose': 'car (used)', 'credit_amount': '<=6723'},Anchor Rule ->,{'purpose': 'car (used)', 'credit_amount': '<=4154.50'}
36,german,gt,0,3,0.678,0.636,0.964,0.110,0.488,950,737439,0.998,1.284,1,1,1.597,0.390,0.997,0.410,0.491,1054,58052,0.991,6.711,1,7,0.627,1.000,1.000,0.010,0.028,15212,25890563,0.989,1.534,0,9,0.214,16.569,EXPLAN Rule -> ,{'credit_amount': '2788.0< credit_amount <=3275.0', 'duration_in_month': '<=41'},LORE Rule ->,{'duration_in_month': '>22'},Anchor Rule ->,{'duration_in_month': '>24.00', 'account_check_status': '0 <= ... < 200 DM', 'age': '<=33.00', 'purpose': 'car (new)', 'installment_as_income_perc': '4', 'property': 'unknown / no property', 'savings': '100 <= ... < 500 DM'}
37,german,gt,1,3,0.638,0.833,0.978,0.060,0.204,776,321312,0.996,1.828,1,2,2.174,0.972,0.996,0.360,0.533,985,511132,0.960,6.616,1,1,0.574,0.972,1.000,0.360,0.621,700,1189062,0.627,0.254,1,9,0.034,16.513,EXPLAN Rule -> ,{'credit_amount': '1977.0< credit_amount <=2255.0', 'age': '>38'},LORE Rule ->,{'account_check_status': 'no checking account', 'age': '>19'},Anchor Rule ->,{'account_check_status': 'no checking account'}
38,german,gt,1,3,0.616,1.000,0.974,0.060,0.441,870,779607,1.000,1.196,1,4,3.416,0.745,0.943,0.510,0.848,1070,285495,0.602,6.907,1,1,0.563,0.972,1.000,0.360,0.524,700,1353645,0.623,0.273,1,10,0.256,16.298,EXPLAN Rule -> ,{'credit_amount': '3249.0< credit_amount <=3676.0', 'duration_in_month': '<=25'},LORE Rule ->,{'age': '>19', 'credit_amount': '>1728', 'other_installment_plans': 'none', 'duration_in_month': '>11'},Anchor Rule ->,{'account_check_status': 'no checking account'}
39,german,gt,1,6,0.660,1.000,0.960,0.010,0.005,616,1055309,1.000,1.396,1,1,2.525,0.650,0.992,0.200,0.464,1045,150600,0.996,6.940,1,6,0.574,1.000,1.000,0.010,0.052,10218,37845872,0.976,1.111,1,10,0.438,17.411,EXPLAN Rule -> ,{'credit_amount': '5511.0< credit_amount <=6887.0', 'account_check_status': '< 0 DM', 'purpose': 'radio/television', 'personal_status_sex': 'female : divorced/separated/married', 'present_emp_since': '... < 1 year'},LORE Rule ->,{'duration_in_month': '>30'},Anchor Rule ->,{'duration_in_month': '>24.00', 'account_check_status': '< 0 DM', 'age': '<=27.00', 'savings': '... < 100 DM', 'housing': 'rent', 'installment_as_income_perc': '4'}
40,german,gt,1,4,0.721,1.000,0.914,0.010,0.010,672,1320256,0.994,1.345,1,3,1.913,1.000,0.980,0.100,0.523,1075,871018,0.943,6.888,1,2,0.612,1.000,1.000,0.030,0.141,2500,6298726,0.661,0.443,1,10,0.229,16.497,EXPLAN Rule -> ,{'credit_amount': '<=4933', 'duration_in_month': '>25', 'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'age': '>26'},LORE Rule ->,{'age': '>18', 'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'credit_amount': '<=6449'},Anchor Rule ->,{'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'purpose': 'domestic appliances'}
41,german,gt,1,3,0.664,1.000,0.960,0.030,0.338,668,257192,0.999,1.429,1,2,1.671,0.831,1.000,0.830,0.500,1035,210730,0.996,6.690,1,2,0.596,1.000,1.000,0.330,0.525,1300,2130185,0.635,0.312,1,9,0.245,16.385,EXPLAN Rule -> ,{'credit_amount': '1819.0< credit_amount <=2080.0', 'duration_in_month': '<=22'},LORE Rule ->,{'age': '>18', 'other_installment_plans': 'none'},Anchor Rule ->,{'account_check_status': 'no checking account', 'other_installment_plans': 'none'}
42,german,gt,1,2,0.696,1.000,0.974,0.040,0.522,1012,1080861,0.996,1.159,1,3,1.896,0.901,0.990,0.710,0.523,1028,296139,0.967,6.742,1,3,0.584,1.000,1.000,0.080,0.152,4700,9653306,0.674,0.860,1,10,0.060,17.076,EXPLAN Rule -> ,{'credit_amount': '3496.0< credit_amount <=3878.0'},LORE Rule ->,{'duration_in_month': '6.0< duration_in_month <=31.0', 'age': '>17'},Anchor Rule ->,{'account_check_status': '>= 200 DM / salary assignments for at least 1 year', 'other_installment_plans': 'none', 'duration_in_month': '<=24.00'}
